time,type,price
2024-01-24 00:19:00,buy,39837.65
2024-01-24 00:27:00,sell,39863.75
2024-01-24 00:29:00,buy,39880.95
2024-01-24 00:59:00,sell,40166.85
2024-01-24 01:25:00,buy,39906.25
2024-01-24 01:34:00,sell,39915.65
2024-01-24 01:46:00,buy,39893.15
2024-01-24 01:48:00,sell,39868.45
2024-01-24 02:05:00,buy,39792.45
2024-01-24 02:13:00,sell,39775.05
2024-01-24 02:15:00,buy,39806.75
2024-01-24 02:20:00,sell,39798.85
2024-01-24 02:21:00,buy,39828.85
2024-01-24 02:25:00,sell,39812.35
2024-01-24 02:26:00,buy,39840.85
2024-01-24 02:27:00,sell,39823.25
2024-01-24 02:30:00,buy,39839.95
2024-01-24 02:38:00,sell,39857.85
2024-01-24 02:40:00,buy,39869.15
2024-01-24 02:41:00,sell,39859.55
2024-01-24 02:57:00,buy,39768.65
2024-01-24 03:02:00,sell,39747.85
2024-01-24 03:11:00,buy,39739.55
2024-01-24 03:20:00,sell,39751.75
2024-01-24 03:31:00,buy,39638.35
2024-01-24 03:32:00,sell,39612.75
2024-01-24 03:40:00,buy,39641.25
2024-01-24 03:49:00,sell,39624.15
2024-01-24 04:00:00,buy,39615.55
2024-01-24 04:08:00,sell,39577.35
2024-01-24 04:15:00,buy,39609.95
2024-01-24 04:38:00,sell,39685.75
2024-01-24 04:46:00,buy,39674.05
2024-01-24 04:52:00,sell,39675.55
2024-01-24 05:01:00,buy,39686.75
2024-01-24 05:20:00,sell,39751.95
2024-01-24 05:23:00,buy,39767.65
2024-01-24 05:35:00,sell,39781.45
2024-01-24 05:45:00,buy,39760.75
2024-01-24 05:49:00,sell,39754.65
2024-01-24 05:58:00,buy,39789.15
2024-01-24 06:04:00,sell,39766.75
2024-01-24 06:19:00,buy,39701.25
2024-01-24 06:42:00,sell,39833.55
2024-01-24 06:45:00,buy,39857.35
2024-01-24 06:52:00,sell,39858.25
2024-01-24 06:53:00,buy,39865.45
2024-01-24 06:54:00,sell,39864.95
2024-01-24 06:55:00,buy,39871.65
2024-01-24 07:00:00,sell,39861.75
2024-01-24 07:03:00,buy,39874.75
2024-01-24 07:04:00,sell,39866.25
2024-01-24 07:10:00,buy,39878.25
2024-01-24 07:25:00,sell,40059.55
2024-01-24 07:26:00,buy,40069.35
2024-01-24 07:27:00,sell,40050.35
2024-01-24 07:28:00,buy,40084.05
2024-01-24 07:30:00,sell,40060.75
2024-01-24 07:39:00,buy,40022.15
2024-01-24 07:40:00,sell,40008.25
2024-01-24 07:54:00,buy,39948.05
2024-01-24 08:09:00,sell,40040.45
2024-01-24 08:10:00,buy,40046.55
2024-01-24 08:13:00,sell,40066.85
2024-01-24 08:24:00,buy,39975.25
2024-01-24 08:28:00,sell,39927.25
2024-01-24 08:37:00,buy,39925.85
2024-01-24 08:38:00,sell,39898.05
2024-01-24 08:39:00,buy,39908.45
2024-01-24 08:40:00,sell,39891.85
2024-01-24 08:45:00,buy,39906.55
2024-01-24 08:58:00,sell,39956.35
2024-01-24 09:03:00,buy,39995.75
2024-01-24 09:19:00,sell,40033.95
2024-01-24 09:25:00,buy,40013.25
2024-01-24 09:32:00,sell,40003.65
2024-01-24 09:47:00,buy,39952.85
2024-01-24 09:48:00,sell,39922.05
2024-01-24 09:50:00,buy,39952.95
2024-01-24 10:00:00,sell,39990.45
2024-01-24 10:04:00,buy,40035.55
2024-01-24 10:08:00,sell,40003.85
2024-01-24 10:12:00,buy,40042.75
2024-01-24 10:34:00,sell,40141.85
2024-01-24 10:37:00,buy,40153.75
